compound,temp_C,phi,phi_lo95,phi_hi95
MeFOSAA,35.0,0.2627,0.0212,0.7469
MeFOSE,5.0,0.8105,0.2338,0.9952
MeFOSE,10.0,0.7045,0.1902,0.9751
MeFOSE,15.0,0.5363,0.1519,0.8854
MeFOSE,20.0,0.3257,0.106,0.6338
MeFOSE,25.0,0.1579,0.0552,0.3331
MeFOSE,30.0,0.0723,0.0161,0.1907
MeFOSE,35.0,0.0357,0.0034,0.1381
PFBA,5.0,0.8348,0.278,0.9967
PFBA,10.0,0.7402,0.2293,0.9824
PFBA,15.0,0.5846,0.1837,0.913
PFBA,20.0,0.3753,0.1302,0.6922
PFBA,25.0,0.1911,0.0687,0.4054
PFBA,30.0,0.0895,0.0203,0.241
PFBA,35.0,0.0446,0.0043,0.1794
PFBS,5.0,0.8898,0.4219,0.9978
PFBS,10.0,0.8229,0.377,0.9881
PFBS,15.0,0.7008,0.3265,0.9418
PFBS,20.0,0.5044,0.2494,0.7739
PFBS,25.0,0.2856,0.1485,0.4923
PFBS,30.0,0.1411,0.0439,0.317
PFBS,35.0,0.0716,0.0088,0.2497
PFDA,5.0,0.9545,0.7066,0.9994
PFDA,10.0,0.9271,0.6623,0.9965
PFDA,15.0,0.8712,0.6054,0.982
PFDA,20.0,0.757,0.5136,0.9183
PFDA,25.0,0.5588,0.3605,0.7572
PFDA,30.0,0.3375,0.1299,0.6077
PFDA,35.0,0.1872,0.0289,0.5163
PFDS,5.0,0.9875,0.9154,0.9999
PFDS,10.0,0.9807,0.8944,0.9995
PFDS,15.0,0.966,0.8503,0.9976
PFDS,20.0,0.932,0.7825,0.9899
PFDS,25.0,0.8528,0.6339,0.9666
PFDS,30.0,0.6976,0.3381,0.9312
PFDS,35.0,0.497,0.1023,0.8933
PFDoDA,5.0,0.992,0.946,0.9999
PFDoDA,10.0,0.9877,0.9321,0.9995
PFDoDA,15.0,0.9782,0.9151,0.9976
PFDoDA,20.0,0.9556,0.8857,0.9886
PFDoDA,25.0,0.8987,0.7935,0.9613
PFDoDA,30.0,0.769,0.5215,0.9261
PFDoDA,35.0,0.5686,0.179,0.8943
PFHpA,5.0,0.9263,0.5532,0.9988
PFHpA,10.0,0.8816,0.5031,0.9934
PFHpA,15.0,0.7948,0.4399,0.9668
PFHpA,20.0,0.6354,0.3637,0.8569
PFHpA,25.0,0.4111,0.2325,0.6285
PFHpA,30.0,0.2212,0.0765,0.4465
PFHpA,35.0,0.1158,0.0162,0.3633
PFHpS,5.0,0.9455,0.6433,0.9993
PFHpS,10.0,0.9124,0.5876,0.9961
PFHpS,15.0,0.8465,0.5109,0.9811
PFHpS,20.0,0.7188,0.4043,0.9202
PFHpS,25.0,0.5157,0.2378,0.7809
PFHpS,30.0,0.3073,0.084,0.6219
PFHpS,35.0,0.1702,0.0204,0.512
PFHxA,5.0,0.7418,0.1473,0.9914
PFHxA,10.0,0.6065,0.122,0.9562
PFHxA,15.0,0.4141,0.1006,0.7987
PFHxA,20.0,0.216,0.0719,0.45
PFHxA,25.0,0.093,0.0396,0.1881
PFHxA,30.0,0.0404,0.011,0.1017
PFHxA,35.0,0.0197,0.0022,0.0766
PFHxDA,5.0,0.9919,0.9455,0.9999
PFHxDA,10.0,0.9874,0.9269,0.9997
PFHxDA,15.0,0.9775,0.8976,0.9986
PFHxDA,20.0,0.9543,0.8338,0.9943
PFHxDA,25.0,0.8986,0.6887,0.9818
PFHxDA,30.0,0.779,0.4161,0.9618
PFHxDA,35.0,0.5966,0.1451,0.9387
PFHxS,5.0,0.9329,0.6041,0.999
PFHxS,10.0,0.8916,0.548,0.9945
PFHxS,15.0,0.8107,0.4769,0.9703
PFHxS,20.0,0.6594,0.3828,0.8757
PFHxS,25.0,0.4388,0.2395,0.6699
PFHxS,30.0,0.2426,0.0792,0.5068
PFHxS,35.0,0.1292,0.017,0.41
PFNA,5.0,0.9411,0.6315,0.9991
PFNA,10.0,0.9054,0.5833,0.9951
PFNA,15.0,0.8341,0.5231,0.9755
PFNA,20.0,0.6956,0.4341,0.8897
PFNA,25.0,0.4794,0.2912,0.6897
PFNA,30.0,0.2716,0.0998,0.5213
PFNA,35.0,0.1459,0.0218,0.429
PFNS,5.0,0.9597,0.7038,0.9997
PFNS,10.0,0.9352,0.6237,0.9986
PFNS,15.0,0.8867,0.5243,0.9937
PFNS,20.0,0.792,0.3774,0.9755
PFNS,25.0,0.6321,0.2121,0.9278
PFNS,30.0,0.435,0.0762,0.8475
PFNS,35.0,0.2697,0.0199,0.7569
PFOA,5.0,0.9195,0.5347,0.9986
PFOA,10.0,0.8703,0.4826,0.9924
PFOA,15.0,0.776,0.4248,0.9614
PFOA,20.0,0.6071,0.3393,0.8348
PFOA,25.0,0.3808,0.212,0.5914
PFOA,30.0,0.2004,0.0687,0.4181
PFOA,35.0,0.1042,0.0145,0.3324
